,CustomerID,EmployeeID:string,OrderDate,RequiredDate,ShippedDate,ShipVia:string,Freight,ShipCity,ShipPostalCode,ShipCountry,ProductID_1,ProductID_2,ProductID_3,ProductID_4,ProductID_5,ProductID_6,ProductID_7,ProductID_8,ProductID_9,ProductID_10,ProductID_11,ProductID_12,ProductID_13,ProductID_14,ProductID_15,ProductID_16,ProductID_17,ProductID_18,ProductID_19,ProductID_20,ProductID_21,ProductID_22,ProductID_23,ProductID_24,ProductID_25,ProductID_26,ProductID_27,ProductID_28,ProductID_29,ProductID_30,ProductID_31,ProductID_32,ProductID_33,ProductID_34,ProductID_35,ProductID_36,ProductID_37,ProductID_38,ProductID_39,ProductID_40,ProductID_41,ProductID_42,ProductID_43,ProductID_44,ProductID_45,ProductID_46,ProductID_47,ProductID_48,ProductID_49,ProductID_50,ProductID_51,ProductID_52,ProductID_53,ProductID_54,ProductID_55,ProductID_56,ProductID_57,ProductID_58,ProductID_59,ProductID_60,ProductID_61,ProductID_62,ProductID_63,ProductID_64,ProductID_65,ProductID_66,ProductID_67,ProductID_68,ProductID_69,ProductID_70,ProductID_71,ProductID_72,ProductID_73,ProductID_74,ProductID_75,ProductID_76,ProductID_77,CategoryID_1,CategoryID_2,CategoryID_3,CategoryID_4,CategoryID_5,CategoryID_6,CategoryID_7,CategoryID_8,SupplierID_1,SupplierID_2,SupplierID_3,SupplierID_4,SupplierID_5,SupplierID_6,SupplierID_7,SupplierID_8,SupplierID_9,SupplierID_10,SupplierID_11,SupplierID_12,SupplierID_13,SupplierID_14,SupplierID_15,SupplierID_16,SupplierID_17,SupplierID_18,SupplierID_19,SupplierID_20,SupplierID_21,SupplierID_22,SupplierID_23,SupplierID_24,SupplierID_25,SupplierID_26,SupplierID_27,SupplierID_28,SupplierID_29
0,DELDG,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Reims,51100,France,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,DELDG,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Münster,44087,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,RETCL,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Rio de Janeiro,05454-876,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3,DELDG,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Lyon,69004,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,DELDG,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Charleroi,B-6000,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,RETCL,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Rio de Janeiro,05454-876,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6,NATWR,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Bern,3012,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,DELDG,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Genève,1204,Switzerland,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,DELDG,3,1996-07-15,1996-08-12,1996-07-17,2,13.97,Resende,08737-363,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,RETCL,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,San Cristóbal,5022,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
